5' UTR Start	5' UTR End	3' UTR Start	3' UTR End	Chromosome Name	Exon Chr Start (bp)	Exon Chr End (bp)
				11	108196037	108196271
				11	108196785	108196952
				11	108198372	108198485
				11	108199748	108199965
				11	108200941	108201148
				11	108202171	108202284
				11	108202606	108202764
				11	108203489	108203627
				11	108204613	108204695
				11	108205696	108205836
				11	108206572	108206688
				11	108213949	108214098
				11	108216470	108216635
				11	108218006	108218092
				11	108224493	108224607
				11	108225538	108225601
				11	108235809	108235945
		108236236	108239826	11	108236052	108239826
52443895	52443930			3	52443858	52443930
				3	52443730	52443759
				3	52443570	52443624
				3	52442490	52442622
				3	52441974	52442093
				3	52441415	52441476
				3	52441190	52441332
				3	52440845	52440923
				3	52440269	52440338
				3	52439781	52439928
				3	52439126	52439310
				3	52438469	52438602
				3	52437432	52437910
				3	52437154	52437314
				3	52436795	52436887
				3	52436618	52436690
		52435042	52436303	3	52435042	52436437
52713728	52713729			3	52713590	52713729
				3	52712516	52712613
				3	52702514	52702661
				3	52696149	52696292
				3	52692215	52692331
				3	52685758	52685826
				3	52682360	52682458
				3	52678720	52678805
				3	52677264	52677359
				3	52675970	52676061
				3	52668618	52668831
				3	52662910	52663051
				3	52661289	52661386
				3	52651278	52651554
				3	52649367	52649472
				3	52643329	52643971
				3	52637537	52637748
				3	52623086	52623271
				3	52621369	52621526
				3	52620441	52620704
				3	52613070	52613215
				3	52610557	52610714
				3	52598066	52598249
				3	52597299	52597509
				3	52595783	52595984
				3	52592265	52592429
				3	52588740	52588895
				3	52584763	52584833
				3	52584437	52584653
		52582006	52582078	3	52582006	52582251
36421197	36421641			21	36421139	36421641
				21	36265222	36265260
				21	36259140	36259393
				21	36252854	36253010
				21	36231771	36231875
				21	36206707	36206898
				21	36171598	36171759
		36160098	36164431	21	36160098	36164907
106067032	106067243			4	106067032	106067243
106111517	106111662			4	106111517	106111662
106155054	106155099	106158598	106163928	4	106155054	106163928
				20	30947550	30947594
				20	30954187	30954269
				20	30956818	30956926
				20	31015931	31016051
				20	31016128	31016225
				20	31017141	31017234
				20	31017704	31017856
				20	31019124	31019287
				20	31019386	31019482
				20	31020683	31020788
				20	31021087	31021720
		31025142	31027121	20	31022235	31027121
41277294	41277468			17	41277294	41277468
41276034	41276132			17	41276034	41276132
41258473	41258550			17	41258473	41258550
41256885	41256973			17	41256885	41256973
41256139	41256278			17	41256139	41256278
41251792	41251897			17	41251792	41251897
41249261	41249306			17	41249261	41249306
41247863	41247939			17	41247863	41247939
41246660	41246877			17	41243452	41246877
				17	41242961	41243049
				17	41234421	41234592
				17	41228505	41228631
				17	41226348	41226538
				17	41222945	41223255
				17	41219625	41219712
				17	41215891	41215968
				17	41215350	41215390
				17	41209069	41209152
				17	41203080	41203134
				17	41201138	41201211
				17	41199660	41199720
		41196313	41197694	17	41196313	41197819
25403685	25403865			12	25403685	25403865
25398319	25398329			12	25398208	25398329
				12	25380168	25380346
				12	25378548	25378707
		25357723	25362728	12	25357723	25362845
148581256	148581370			7	148581256	148581370
148544391	148544397			7	148544274	148544397
				7	148543562	148543690
				7	148529726	148529842
				7	148526820	148526940
				7	148525832	148525972
				7	148524256	148524358
				7	148523546	148523724
				7	148516688	148516779
				7	148514969	148515209
				7	148514314	148514483
				7	148513776	148513870
				7	148512598	148512638
				7	148512006	148512131
				7	148511051	148511229
				7	148508717	148508812
				7	148507425	148507506
				7	148506402	148506482
				7	148506163	148506247
		148504477	148504737	7	148504477	148504798
25564695	25564754			2	25564695	25564754
25536854	25537030			2	25536782	25537030
				2	25523008	25523112
				2	25505310	25505580
				2	25498369	25498412
				2	25497810	25497956
				2	25470906	25471121
				2	25470460	25470618
				2	25469920	25470027
				2	25469489	25469645
				2	25469029	25469178
				2	25468889	25468933
				2	25468122	25468201
				2	25467409	25467521
				2	25467024	25467207
				2	25466767	25466851
				2	25464431	25464576
				2	25463509	25463599
				2	25463171	25463319
				2	25461999	25462084
				2	25459805	25459874
				2	25458576	25458694
		25455845	25457147	2	25455845	25457289
				21	36261974	36262034
				21	36259140	36259393
				21	36252854	36253010
				21	36231771	36231875
				21	36206707	36206898
				21	36171598	36171759
		36160098	36164431	21	36160098	36164907
1205740	1206912			19	1205740	1207202
				19	1218416	1218499
				19	1219323	1219412
				19	1220372	1220504
				19	1220580	1220716
				19	1221212	1221339
				19	1221948	1222005
				19	1222984	1223171
		1226647	1226662	19	1226453	1226662
		1227592	1228428	19	1227592	1228428
29137757	29137832			22	29137757	29137832
29130710	29130715			22	29130391	29130715
				22	29121231	29121355
				22	29120965	29121112
				22	29115383	29115473
				22	29107897	29108005
				22	29105994	29106047
				22	29099493	29099554
				22	29095826	29095925
				22	29092889	29092975
				22	29091698	29091861
				22	29091115	29091230
				22	29090020	29090105
				22	29085123	29085203
		29083732	29083884	22	29083732	29083974
90645623	90645736			15	90645508	90645736
				15	90634785	90634876
				15	90633711	90633876
				15	90631819	90631979
				15	90631591	90631734
				15	90630671	90630807
				15	90630344	90630495
				15	90628507	90628619
				15	90628233	90628330
				15	90628048	90628140
		90626277	90627497	15	90626277	90627585
50344378	50344518			7	50344378	50344518
50358644	50358657			7	50358644	50358697
				7	50367234	50367353
				7	50444231	50444491
				7	50450238	50450405
				7	50455043	50455168
				7	50459427	50459561
		50468326	50472799	7	50467616	50472799
				1	36945034	36945097
				1	36940978	36941274
				1	36939365	36939488
				1	36939036	36939223
				1	36938118	36938287
				1	36937839	36937992
				1	36937667	36937740
				1	36937034	36937247
				1	36935253	36935441
				1	36934757	36934858
				1	36933676	36933822
				1	36933423	36933563
				1	36933159	36933252
				1	36932831	36932912
				1	36932222	36932428
				1	36931697	36931801
198299724	198299815			2	198299696	198299815
				2	198288532	198288698
				2	198285753	198285857
				2	198285152	198285266
				2	198283233	198283312
				2	198281465	198281635
				2	198274494	198274731
				2	198273093	198273305
				2	198272722	198272843
				2	198269999	198270196
				2	198269800	198269901
				2	198268309	198268488
				2	198267673	198267759
				2	198267280	198267550
				2	198266709	198266854
				2	198266466	198266612
				2	198266124	198266249
				2	198265439	198265660
				2	198264976	198265158
				2	198264779	198264890
				2	198263185	198263305
				2	198262709	198262840
				2	198260780	198261052
				2	198257696	198257912
		198254508	198257026	2	198254508	198257185
52713728	52713730			3	52713590	52713730
				3	52712516	52712613
				3	52702514	52702661
				3	52696149	52696292
				3	52692215	52692331
				3	52685758	52685826
				3	52682360	52682458
				3	52678720	52678805
				3	52677264	52677359
				3	52675970	52676061
				3	52668618	52668831
				3	52662910	52663051
				3	52661289	52661386
				3	52651278	52651554
				3	52649367	52649472
				3	52643329	52643971
				3	52637537	52637748
				3	52623086	52623271
				3	52621369	52621526
				3	52620441	52620704
				3	52613070	52613215
				3	52610557	52610714
				3	52598066	52598249
				3	52597299	52597509
				3	52595783	52595984
				3	52584763	52584833
				3	52584437	52584653
		52582006	52582078	3	52582006	52582251
				1	36945034	36945097
				1	36940978	36941274
				1	36939365	36939488
				1	36939036	36939223
				1	36938118	36938287
				1	36937839	36937992
				1	36937667	36937740
				1	36937034	36937247
				1	36935253	36935441
				1	36934757	36934858
				1	36933676	36933822
				1	36933423	36933563
				1	36932831	36932912
		36931719	36932064	1	36931719	36932428
55086725	55086970			7	55086725	55087058
				7	55209979	55210130
				7	55210998	55211181
				7	55214299	55214433
				7	55218987	55219055
				7	55220239	55220357
				7	55221704	55221845
				7	55223523	55223639
				7	55224226	55224352
				7	55224452	55224525
				7	55225356	55225446
				7	55227832	55228031
				7	55229192	55229324
				7	55231426	55231516
				7	55232973	55233130
		55236223	55236328	7	55236216	55236328
48556583	48556993			18	48556583	48556993
48573290	48573416			18	48573290	48573665
				18	48575056	48575230
				18	48575665	48575694
				18	48581151	48581363
				18	48584495	48584614
				18	48584710	48584826
				18	48586236	48586286
				18	48591793	48591976
				18	48593389	48593557
				18	48603008	48603146
		48604838	48611409	18	48604626	48611409
50344378	50344518			7	50344378	50344518
50358644	50358657			7	50358644	50358697
				7	50367234	50367353
				7	50450238	50450405
				7	50455043	50455168
				7	50459427	50459561
		50468326	50472799	7	50467616	50472799
55086726	55086970			7	55086726	55087058
				7	55209979	55210130
				7	55210998	55211181
				7	55214299	55214433
				7	55218987	55219055
				7	55220239	55220357
				7	55221704	55221845
				7	55223523	55223639
				7	55224226	55224352
				7	55224452	55224525
				7	55225356	55225446
				7	55227832	55228031
				7	55229192	55229324
				7	55231426	55231516
				7	55232973	55233130
		55238238	55238738	7	55238000	55238738
11071677	11071850			19	11071677	11071850
11094797	11094827			19	11094797	11095049
				19	11095949	11096081
				19	11096865	11097269
				19	11097581	11097679
				19	11098342	11098600
				19	11099993	11100119
				19	11101826	11101999
				19	11105504	11105677
				19	11106889	11107056
				19	11107170	11107220
				19	11113705	11113835
				19	11114016	11114073
				19	11118578	11118699
				19	11121057	11121207
				19	11123625	11123788
				19	11129633	11129699
				19	11130267	11130377
				19	11132401	11132643
				19	11134194	11134307
				19	11135007	11135114
				19	11136098	11136184
				19	11136976	11137022
				19	11138460	11138626
				19	11141406	11141569
				19	11143966	11144193
				19	11144443	11144541
				19	11144799	11144876
				19	11145590	11145808
				19	11151983	11152236
				19	11168931	11169039
				19	11169464	11169565
				19	11170429	11170561
				19	11170721	11170863
		11172493	11172735	19	11172460	11172735
36259410	36260987			21	36259140	36260987
				21	36252854	36253010
				21	36231771	36231875
				21	36206707	36206898
				21	36171598	36171759
		36160098	36164431	21	36160098	36164907
10183472	10183531			3	10183472	10183871
		10191650	10193766	3	10191471	10193766
41277294	41277468			17	41277294	41277468
41276114	41276132			17	41276034	41276132
				17	41267743	41267796
				17	41258473	41258550
				17	41256885	41256973
				17	41256139	41256278
				17	41251792	41251897
				17	41249261	41249306
				17	41247863	41247939
				17	41243452	41246877
				17	41242961	41243049
				17	41234421	41234592
				17	41215891	41215968
				17	41215350	41215390
				17	41209069	41209152
				17	41203080	41203134
				17	41201138	41201211
				17	41199660	41199720
		41196313	41197694	17	41196313	41197819
50344378	50344518			7	50344378	50344518
50358644	50358657			7	50358644	50358697
				7	50367234	50367353
		50468326	50472799	7	50467616	50472799
29137757	29137822			22	29137757	29137822
29130710	29130715			22	29130391	29130715
				22	29121231	29121355
				22	29120965	29121112
				22	29115383	29115473
				22	29107897	29108005
				22	29105994	29106047
				22	29099493	29099554
				22	29095826	29095925
				22	29091698	29091861
				22	29091115	29091230
				22	29090020	29090105
				22	29085123	29085203
		29083731	29083884	22	29083731	29083974
50344378	50344518			7	50344378	50344518
50358644	50358657			7	50358644	50358697
				7	50367234	50367353
				7	50444231	50444491
		50468326	50472799	7	50467616	50472799
148581256	148581340			7	148581256	148581340
148544391	148544397			7	148544274	148544397
				7	148543562	148543690
				7	148526820	148526940
				7	148525832	148525972
				7	148524256	148524358
				7	148523561	148523724
				7	148516688	148516779
				7	148514969	148515209
				7	148514314	148514483
				7	148513776	148513870
				7	148512598	148512638
				7	148512006	148512131
				7	148511051	148511229
				7	148508717	148508812
				7	148507425	148507506
				7	148506402	148506482
				7	148506163	148506247
		148504477	148504737	7	148504477	148504798
41276114	41276132			17	41276034	41276132
				17	41267743	41267796
				17	41258473	41258550
				17	41256885	41256973
				17	41256139	41256278
				17	41251792	41251897
				17	41242961	41243049
				17	41234421	41234592
				17	41228505	41228631
				17	41226348	41226538
				17	41222945	41223255
				17	41219625	41219712
				17	41215891	41215968
				17	41215350	41215390
				17	41209069	41209152
				17	41203080	41203134
				17	41201138	41201211
				17	41199660	41199720
		41196313	41197694	17	41196313	41197819
41277288	41277500			17	41277288	41277500
41276114	41276132			17	41276034	41276132
				17	41267743	41267796
				17	41258473	41258550
				17	41256885	41256973
				17	41256139	41256278
				17	41251792	41251897
				17	41249261	41249306
				17	41247863	41247939
				17	41242961	41243049
				17	41234421	41234592
				17	41228505	41228631
				17	41226348	41226538
				17	41222945	41223255
				17	41219625	41219712
				17	41215891	41215968
				17	41215350	41215390
				17	41209069	41209152
				17	41203080	41203134
				17	41201138	41201211
				17	41199660	41199720
		41196313	41197694	17	41196313	41197819
41277288	41277500			17	41277288	41277500
41276114	41276132			17	41276034	41276132
				17	41267743	41267796
				17	41258473	41258550
				17	41256885	41256973
				17	41256139	41256278
				17	41251792	41251897
				17	41249261	41249306
				17	41247863	41247939
				17	41243452	41246877
				17	41242961	41243049
				17	41234421	41234592
				17	41215350	41215390
				17	41209069	41209152
				17	41203080	41203134
				17	41201138	41201211
				17	41199660	41199720
		41196313	41197694	17	41196313	41197819
29421945	29422327			17	29421945	29422387
				17	29483001	29483144
				17	29486028	29486111
				17	29490204	29490394
				17	29496909	29497015
				17	29508440	29508507
				17	29508728	29508803
				17	29509526	29509683
				17	29527440	29527613
				17	29528055	29528177
				17	29528429	29528503
				17	29533258	29533389
				17	29541469	29541603
				17	29546023	29546136
				17	29548868	29548947
				17	29550462	29550585
				17	29552113	29552268
				17	29553453	29553702
				17	29554236	29554309
				17	29554541	29554624
				17	29556043	29556483
				17	29556853	29556992
				17	29557278	29557400
				17	29557860	29557943
				17	29559091	29559207
				17	29559718	29559899
				17	29560020	29560231
				17	29562629	29562790
				17	29562936	29563039
				17	29576002	29576137
				17	29585362	29585520
				17	29586050	29586147
				17	29587387	29587533
				17	29588729	29588875
				17	29592247	29592357
				17	29652838	29653270
				17	29654517	29654857
				17	29657314	29657516
				17	29661856	29662049
				17	29663351	29663491
				17	29663653	29663932
				17	29664386	29664600
				17	29664837	29664898
				17	29665043	29665157
				17	29665722	29665823
				17	29667523	29667663
				17	29670027	29670153
				17	29676138	29676269
				17	29677201	29677336
				17	29679275	29679432
				17	29683478	29683600
				17	29683978	29684108
				17	29684287	29684387
				17	29685498	29685640
				17	29685987	29686033
				17	29687505	29687721
		29701174	29704695	17	29701031	29704695
52713728	52713730			3	52713590	52713730
				3	52712516	52712613
				3	52702514	52702661
				3	52696149	52696292
				3	52692215	52692331
				3	52685758	52685826
				3	52682360	52682458
				3	52678720	52678805
				3	52675970	52676061
				3	52668618	52668831
				3	52662910	52663051
				3	52661289	52661386
				3	52651278	52651554
				3	52649367	52649472
				3	52643329	52643971
				3	52637537	52637748
				3	52623086	52623271
				3	52621369	52621526
				3	52620441	52620704
				3	52613070	52613215
				3	52610557	52610714
				3	52598066	52598249
				3	52597299	52597509
				3	52595783	52595984
				3	52588740	52588895
				3	52584763	52584833
				3	52584437	52584653
		52579368	52582078	3	52579368	52582251
50344378	50344518			7	50344378	50344518
50358644	50358657			7	50358644	50358697
				7	50367234	50367353
				7	50444231	50444491
				7	50450238	50450405
		50468326	50472799	7	50467616	50472799
41277288	41277387			17	41277288	41277387
41276114	41276132			17	41276034	41276132
				17	41267743	41267796
				17	41258473	41258550
				17	41256885	41256973
				17	41256139	41256278
				17	41251792	41251897
				17	41249261	41249306
				17	41247863	41247939
				17	41243452	41246877
				17	41242961	41243049
				17	41234421	41234592
				17	41228505	41228631
				17	41226348	41226538
				17	41222945	41223255
				17	41219625	41219712
				17	41215891	41215968
				17	41215350	41215390
				17	41209069	41209152
				17	41203080	41203134
				17	41201138	41201211
				17	41199660	41199720
		41196312	41197694	17	41196312	41197819
11071598	11071850			19	11071598	11071850
11094797	11094827			19	11094797	11095049
				19	11095949	11096081
				19	11096865	11097269
				19	11097581	11097679
				19	11098342	11098600
				19	11099993	11100119
				19	11101826	11101999
				19	11105504	11105677
				19	11106889	11107056
				19	11107170	11107220
				19	11113705	11113835
				19	11114016	11114073
				19	11118578	11118699
				19	11121057	11121207
				19	11123625	11123788
				19	11129633	11129699
				19	11130267	11130377
				19	11132401	11132643
				19	11134194	11134307
				19	11135007	11135114
				19	11136098	11136184
				19	11136976	11137022
				19	11138460	11138626
				19	11141406	11141569
				19	11143966	11144193
				19	11144443	11144541
				19	11144799	11144876
				19	11145590	11145808
				19	11150134	11150229
				19	11151983	11152236
				19	11168931	11169039
				19	11169464	11169565
				19	11170429	11170561
				19	11170721	11170863
		11172493	11172958	19	11172460	11172958
74733243	74733413			17	74732881	74733413
				17	74732487	74732525
29421945	29422327			17	29421945	29422387
				17	29483001	29483144
				17	29486028	29486111
				17	29490204	29490394
				17	29496909	29497015
				17	29508440	29508507
				17	29508728	29508803
				17	29509526	29509683
				17	29527440	29527613
				17	29528055	29528177
				17	29528429	29528503
				17	29533258	29533389
				17	29541469	29541603
				17	29546023	29546136
				17	29548868	29548947
				17	29550462	29550585
				17	29552113	29552268
				17	29553453	29553702
				17	29554236	29554309
				17	29554541	29554624
				17	29556043	29556483
				17	29556853	29556992
				17	29557278	29557400
				17	29557860	29557943
				17	29559091	29559207
				17	29559718	29559899
				17	29560020	29560231
				17	29562629	29562790
				17	29562936	29563039
				17	29576002	29576137
				17	29579956	29580018
				17	29585362	29585520
				17	29586050	29586147
				17	29587387	29587533
				17	29588729	29588875
				17	29592247	29592357
				17	29652838	29653270
				17	29654517	29654857
				17	29657314	29657516
				17	29661856	29662049
				17	29663351	29663491
				17	29663653	29663932
				17	29664386	29664600
				17	29664837	29664898
				17	29665043	29665157
				17	29665722	29665823
				17	29667523	29667663
				17	29670027	29670153
				17	29676138	29676269
				17	29677201	29677336
				17	29679275	29679432
				17	29683478	29683600
				17	29683978	29684108
				17	29684287	29684387
				17	29685498	29685640
				17	29685987	29686033
				17	29687505	29687721
		29701174	29704695	17	29701031	29704695
36259410	36260987			21	36259140	36260987
				21	36252854	36253010
				21	36231771	36231875
				21	36206707	36206898
		36193576	36193964	21	36193576	36193993
50344378	50344518			7	50344378	50344518
50358644	50358657			7	50358644	50358697
				7	50367234	50367353
				7	50444231	50444491
				7	50450238	50450405
				7	50459427	50459561
		50468326	50470223	7	50467616	50470223
				17	7579839	7579912
				17	7579700	7579721
				17	7579312	7579590
				17	7578371	7578554
				17	7578177	7578289
				17	7577499	7577608
				17	7577019	7577155
				17	7576853	7576926
		7569404	7569523	17	7569404	7569562
74733243	74733456			17	74732881	74733456
		74732236	74732242	17	74732236	74732546
		74730201	74731240	17	74730201	74731240
11322502	11322564			1	11322502	11322564
11319467	11319480			1	11319305	11319480
				1	11318542	11318650
				1	11316990	11317222
				1	11316049	11316249
				1	11313896	11314030
				1	11307876	11308151
				1	11307682	11307790
				1	11303171	11303357
				1	11301610	11301738
				1	11300360	11300604
				1	11298459	11298674
				1	11297900	11298105
				1	11294200	11294322
				1	11293455	11293544
				1	11292493	11292585
				1	11291357	11291491
				1	11290982	11291111
				1	11288725	11288975
				1	11276205	11276291
				1	11273456	11273623
				1	11272853	11272965
				1	11272369	11272531
				1	11270871	11270963
				1	11269369	11269515
				1	11264618	11264760
				1	11259598	11259760
				1	11259315	11259460
				1	11227499	11227574
				1	11217209	11217348
				1	11210183	11210283
				1	11206733	11206848
				1	11205025	11205102
				1	11204705	11204812
				1	11199590	11199715
				1	11199361	11199492
				1	11194408	11194523
				1	11193137	11193254
				1	11190586	11190834
				1	11189795	11189895
				1	11188912	11189008
				1	11188511	11188609
				1	11188061	11188183
				1	11187681	11187863
				1	11187067	11187201
				1	11186679	11186853
				1	11184555	11184690
				1	11182036	11182183
				1	11181303	11181425
				1	11177061	11177143
				1	11175453	11175525
				1	11174870	11174944
				1	11174375	11174510
				1	11172909	11172974
				1	11169706	11169786
				1	11169347	11169427
				1	11168238	11168343
		11166592	11167541	1	11166592	11167557
36947079	36947120			1	36947079	36947120
36945098	36945117			1	36945034	36945117
				1	36940978	36941274
				1	36939365	36939488
				1	36939036	36939223
				1	36938118	36938287
				1	36937839	36937992
				1	36937667	36937740
				1	36937034	36937247
				1	36935253	36935441
				1	36934757	36934858
				1	36933676	36933822
				1	36933423	36933563
				1	36933159	36933252
				1	36932831	36932912
		36931645	36931957	1	36931645	36932428
115259279	115259515			1	115259279	115259515
115258782	115258798			1	115258671	115258798
				1	115256421	115256599
				1	115252190	115252349
		115251152	115251155	1	115251152	115251275
		115250775	115250813	1	115250775	115250813
		115247090	115250671	1	115247090	115250671
89622870	89624226			10	89622870	89624305
				10	89653782	89653866
				10	89685270	89685314
				10	89690803	89690846
				10	89692770	89693008
				10	89711875	89712016
				10	89717610	89717776
				10	89720651	89720875
		89725230	89731687	10	89725044	89731687
36948412	36948879			1	36948412	36948879
36947079	36947138			1	36947079	36947138
36945098	36945117			1	36945034	36945117
				1	36940978	36941274
				1	36939365	36939488
				1	36939036	36939223
				1	36938118	36938287
				1	36937839	36937992
				1	36937667	36937740
				1	36937034	36937247
				1	36935253	36935441
				1	36934757	36934858
				1	36933676	36933822
				1	36933423	36933563
				1	36933159	36933252
				1	36932831	36932912
		36931644	36931957	1	36931644	36932509
36948412	36948879			1	36948412	36948879
36947079	36947138			1	36947079	36947138
36945098	36945117			1	36945034	36945117
				1	36940978	36941274
				1	36939365	36939488
				1	36939036	36939223
				1	36938118	36938287
				1	36937839	36937992
				1	36937667	36937740
				1	36937034	36937247
				1	36935253	36935441
				1	36934757	36934858
				1	36933676	36933822
				1	36933423	36933563
				1	36933159	36933252
				1	36932831	36932912
				1	36932222	36932428
		36931644	36931696	1	36931644	36931801
36948412	36948879			1	36948412	36948879
36947079	36947138			1	36947079	36947138
36945098	36945117			1	36945034	36945117
				1	36940978	36941274
				1	36939365	36939488
				1	36939036	36939223
				1	36938118	36938287
				1	36937839	36937992
				1	36937667	36937740
				1	36937034	36937247
				1	36935253	36935441
				1	36934757	36934858
				1	36933676	36933822
				1	36933423	36933563
				1	36933159	36933252
				1	36932831	36932912
		36931644	36931957	1	36931644	36932428
30946155	30946578			20	30946155	30946635
				20	30954187	30954269
				20	30955530	30955532
				20	30956818	30956926
				20	31015931	31016051
				20	31016128	31016225
				20	31017141	31017234
				20	31017704	31017856
				20	31019124	31019287
				20	31019386	31019482
				20	31020683	31020788
				20	31021087	31021720
		31025142	31027122	20	31022235	31027122
30947368	30947549			20	30947368	30947594
				20	30954187	30954269
				20	30955530	30955532
				20	30956818	30956926
		30959973	30960356	20	30959967	30960356
11190814	11191615			1	11190586	11191615
				1	11189795	11189895
				1	11188912	11189008
				1	11188511	11188609
				1	11188061	11188183
				1	11187681	11187863
				1	11187067	11187201
				1	11186679	11186853
				1	11184555	11184690
				1	11182036	11182183
				1	11181303	11181425
				1	11177061	11177143
				1	11175453	11175525
				1	11174870	11174944
				1	11174375	11174510
				1	11172909	11172974
				1	11169706	11169786
				1	11169347	11169427
				1	11168238	11168343
		11166592	11167541	1	11166592	11167557
106067943	106068136			4	106067943	106068136
106111517	106111662			4	106111517	106111662
106155054	106155099			4	106155054	106158508
				4	106162496	106162586
				4	106163991	106164084
				4	106164727	106164935
				4	106180776	106180926
				4	106182916	106183005
				4	106190767	106190904
				4	106193721	106194075
		106197677	106200960	4	106196205	106200960
32889611	32889804			13	32889611	32889804
32890559	32890597			13	32890559	32890664
				13	32893214	32893462
				13	32899213	32899321
				13	32900238	32900287
				13	32900379	32900419
				13	32900636	32900750
				13	32903580	32903629
				13	32905056	32905167
				13	32906409	32907524
				13	32910402	32915333
				13	32918695	32918790
				13	32920964	32921033
				13	32928998	32929425
				13	32930565	32930746
				13	32931879	32932066
				13	32936660	32936830
				13	32937316	32937670
				13	32944539	32944694
